ID,NBHD,PROP_CLASS,LIVING_SQFT,FBSMT_SQFT,BSMT_AREA,LAND_SQFT,GRD_AREA,BLDG_AGE,RM_AGE,BED_RMS,FULL_B,HLF_B,STORY,STYLE_CN,UNITS,SALE_PRICE
626239,SPEER,CONDOMINIUMS,642,0,0,0,0,59,18.0,1.0,1.0,0,1.0,END UNIT,1.0,230000
357720,HARVEY PARK,SINGLE FAMILY RESIDENCE,1041,834,1041,6930,0,64,,3.0,2.0,1,1.0,1 STORY,1.0,395000
518282,WINDSOR,CONDOMINIUMS,1200,0,0,0,0,50,0.0,2.0,2.0,0,1.0,MIDDLE UNIT,1.0,179000
387660,NORTH PARK HILL,SINGLE FAMILY RESIDENCE,1154,938,938,6250,0,77,2.0,2.0,3.0,0,1.0,1 STORY,1.0,590000
683382,COLLEGE VIEW / SOUTH PLATTE,SINGLE FAMILY RESIDENCE,1133,0,285,18000,0,82,,3.0,1.0,0,1.0,1 STORY,1.0,256000
246860,WASHINGTON PARK WEST,SINGLE FAMILY RESIDENCE,1004,0,635,4750,0,113,,2.0,1.0,0,1.0,1 STORY,1.0,535000
211316,SPEER,SINGLE FAMILY RESIDENCE,2058,685,785,5450,0,114,10.0,4.0,3.0,0,2.0,2 STORY,1.0,875000
864158,UNION STATION,CONDOMINIUMS,1286,0,0,0,0,14,,2.0,2.0,0,1.0,END UNIT,1.0,849000
107136,WHITTIER,SINGLE FAMILY RESIDENCE,1414,439,695,3120,0,12,12.0,2.0,2.0,1,2.0,2 STORY,1.0,635000
687616,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2349,960,1253,4000,0,0,,4.0,3.0,1,2.0,2 STORY,1.0,739900
215714,MARSTON,SINGLE FAMILY RESIDENCE,880,0,0,7563,441,42,,2.0,2.0,0,1.0,TRI-LEVEL,1.0,358500
957483,WASHINGTON PARK,SINGLE FAMILY RESIDENCE,1128,700,1128,4680,0,94,17.0,3.0,2.0,0,1.0,1 STORY,1.0,900000
791101,RUBY HILL,SINGLE FAMILY RESIDENCE,945,255,945,7170,0,63,4.0,3.0,2.0,0,1.0,1 STORY,1.0,355500
438713,CENTRAL PARK,SINGLE FAMILY RESIDENCE,1284,1220,1284,3990,0,1,,2.0,3.0,0,1.0,END UNIT,1.0,511056
470490,LOWRY FIELD,SINGLE FAMILY RESIDENCE,1794,632,809,3426,0,8,,3.0,3.0,1,2.0,2 STORY,1.0,536000
687225,SLOAN LAKE,SINGLE FAMILY RESIDENCE,2389,0,0,3125,0,1,,3.0,2.0,2,3.0,END UNIT,1.0,714900
149768,HILLTOP,SINGLE FAMILY RESIDENCE,1816,700,797,10700,967,64,0.0,2.0,3.0,0,1.0,TRI-LEVEL W/B,1.0,131166
592744,BARNUM,SINGLE FAMILY RESIDENCE,855,0,0,6240,0,66,0.0,2.0,2.0,0,1.0,1 STORY,1.0,192000
101675,WASHINGTON VIRGINIA VALE,SINGLE FAMILY RESIDENCE,2005,135,717,9750,0,57,1.0,3.0,2.0,1,1.5,1.5 STORY,1.0,605000
414346,MAR LEE,SINGLE FAMILY RESIDENCE,1020,0,0,7500,0,68,0.0,3.0,2.0,0,1.0,1 STORY,1.0,375000
714635,BERKELEY,SINGLE FAMILY RESIDENCE,1198,1138,1198,6250,0,98,0.0,3.0,2.0,0,1.0,1 STORY,1.0,675000
219448,SLOAN LAKE,SINGLE FAMILY RESIDENCE,796,450,581,5080,0,81,20.0,2.0,2.0,0,1.0,1 STORY,1.0,492500
502577,WEST COLFAX,SINGLE FAMILY RESIDENCE,1588,0,0,1918,0,1,,3.0,3.0,1,3.0,END UNIT,1.0,529900
503729,WINDSOR,SINGLE FAMILY RESIDENCE,1828,820,912,22500,0,51,0.0,2.0,3.0,1,1.0,1 STORY,1.0,630000
647438,CHAFFEE PARK,SINGLE FAMILY RESIDENCE,1375,0,0,6250,0,77,0.0,4.0,2.0,0,1.0,1 STORY,1.0,435000
923274,SOUTH PARK HILL,SINGLE FAMILY RESIDENCE,1670,815,815,6200,0,96,,2.0,2.0,1,1.5,1.5 STORY,1.0,624000
154074,BAKER,SINGLE FAMILY RESIDENCE,1854,0,213,4650,0,133,7.0,3.0,3.0,0,2.0,2 STORY,1.0,650000
675356,RUBY HILL,SINGLE FAMILY RESIDENCE,715,0,0,7200,0,66,,2.0,1.0,0,1.0,1 STORY,1.0,302000
271193,HAMPDEN,CONDOMINIUMS,2594,0,0,0,0,40,3.0,3.0,3.0,0,2.0,MIDDLE UNIT,1.0,450000
466817,LINCOLN PARK,SINGLE FAMILY RESIDENCE,2114,0,136,3750,0,134,2.0,4.0,2.0,1,2.0,2 STORY,1.0,642000
943812,HARVEY PARK,SINGLE FAMILY RESIDENCE,1082,844,1082,7680,0,64,3.0,3.0,2.0,1,1.0,1 STORY,1.0,395000
512494,NORTH PARK HILL,SINGLE FAMILY RESIDENCE,1077,923,1008,5950,0,90,4.0,2.0,2.0,0,1.0,1 STORY,1.0,554600
452808,CLAYTON,CONDOMINIUMS,1304,0,652,0,0,19,,3.0,2.0,1,2.0,MIDDLE UNIT,1.0,170000
337873,HAMPDEN,CONDOMINIUMS,1320,0,0,0,0,46,3.0,3.0,2.0,0,1.0,END UNIT,1.0,260040
601982,DIA,SINGLE FAMILY RESIDENCE,1394,0,0,1840,0,11,,3.0,2.0,1,2.0,MIDDLE UNIT,1.0,290000
894180,DIA,CONDOMINIUMS,1153,0,0,0,0,13,,2.0,1.0,1,2.0,MIDDLE UNIT,1.0,230000
501636,BAKER,CONDOMINIUMS,1005,0,0,0,0,20,20.0,2.0,2.0,0,1.0,END UNIT,1.0,450000
984523,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2310,810,1215,4500,0,3,,3.0,3.0,1,2.0,2 STORY,1.0,749900
972525,UNIVERSITY HILLS,SINGLE FAMILY RESIDENCE,1200,0,0,8290,0,66,,3.0,1.0,0,1.0,1 STORY,1.0,370000
725934,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2628,841,1229,4800,0,0,,3.0,3.0,1,2.0,2 STORY,1.0,1127962
502984,WINDSOR,CONDOMINIUMS,1194,0,0,0,0,44,0.0,2.0,2.0,0,1.0,MIDDLE UNIT,1.0,217500
171785,FIVE POINTS,SINGLE FAMILY RESIDENCE,1497,0,231,2096,0,131,11.0,2.0,2.0,1,2.0,2 STORY,1.0,267000
864952,LINCOLN PARK,SINGLE FAMILY RESIDENCE,1760,0,0,3120,0,131,4.0,3.0,3.0,0,2.0,2 STORY,1.0,760000
626839,LOWRY FIELD,SINGLE FAMILY RESIDENCE,2043,693,730,2400,0,2,,3.0,3.0,1,2.5,END UNIT,1.0,770432
900492,CHAFFEE PARK,SINGLE FAMILY RESIDENCE,1037,0,0,6250,0,78,,3.0,2.0,0,1.0,1 STORY,1.0,385000
104561,WESTWOOD,SINGLE FAMILY RESIDENCE,898,0,0,6000,0,59,9.0,3.0,1.0,0,1.0,1 STORY,1.0,291000
232248,WASHINGTON PARK,SINGLE FAMILY RESIDENCE,3732,1712,1802,6300,0,0,0.0,5.0,5.0,1,2.0,2 STORY,1.0,850000
170200,INDIAN CREEK,SINGLE FAMILY RESIDENCE,1640,648,648,1590,0,37,0.0,2.0,3.0,0,2.0,MIDDLE UNIT,1.0,395000
355670,HAMPDEN SOUTH,SINGLE FAMILY RESIDENCE,1435,500,556,10700,766,47,0.0,4.0,3.0,1,1.0,TRI-LEVEL W/B,1.0,572000
246177,CITY PARK,CONDOMINIUMS,561,0,0,0,0,57,11.0,1.0,1.0,0,1.0,END UNIT,1.0,243000
306670,CHEESMAN PARK,CONDOMINIUMS,626,0,0,0,0,52,0.0,1.0,1.0,0,1.0,END UNIT,1.0,94905
269926,NORTH PARK HILL,SINGLE FAMILY RESIDENCE,908,0,0,453,0,73,18.0,2.0,1.0,0,2.0,MIDDLE UNIT,1.0,257500
563148,BERKELEY,SINGLE FAMILY RESIDENCE,685,0,136,3352,0,105,19.0,1.0,1.0,0,1.0,1 STORY,1.0,265000
254124,WINDSOR,CONDOMINIUMS,833,0,0,0,0,48,,2.0,1.0,0,1.0,MIDDLE UNIT,1.0,142500
356992,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1460,0,0,3208,0,3,,3.0,2.0,1,2.0,2 STORY,1.0,355900
336818,VIRGINIA VILLAGE,SINGLE FAMILY RESIDENCE,1148,0,0,7700,591,62,0.0,4.0,2.0,0,1.0,TRI-LEVEL,1.0,555000
913556,SPEER,CONDOMINIUMS,1884,0,0,0,0,13,13.0,2.0,2.0,1,2.0,MIDDLE UNIT,1.0,1020000
169461,LOWRY FIELD,SINGLE FAMILY RESIDENCE,2595,758,956,4950,0,17,,4.0,3.0,1,2.0,2 STORY,1.0,850000
870033,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1088,0,0,3813,0,33,,2.0,1.0,0,2.0,2 STORY,1.0,290000
30542,UNION STATION,CONDOMINIUMS,662,0,0,0,0,2,,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,230751
366164,HILLTOP,SINGLE FAMILY RESIDENCE,1549,596,696,8000,0,79,0.0,3.0,3.0,0,1.0,1 STORY,1.0,1070000
10461,VIRGINIA VILLAGE,SINGLE FAMILY RESIDENCE,1023,1003,1023,7200,0,63,,2.0,3.0,0,1.0,1 STORY,1.0,362500
535935,HAMPDEN,SINGLE FAMILY RESIDENCE,1935,640,838,9450,0,53,4.0,3.0,2.0,1,2.0,2 STORY,1.0,490000
573027,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,2300,0,538,5000,0,5,,3.0,2.0,1,2.0,2 STORY,1.0,382500
193871,FORT LOGAN,SINGLE FAMILY RESIDENCE,1118,1073,1130,9240,0,60,0.0,3.0,2.0,0,1.0,1 STORY,1.0,390000
45586,JEFFERSON PARK,SINGLE FAMILY RESIDENCE,1569,0,0,984,0,3,,2.0,2.0,2,3.0,MIDDLE UNIT,1.0,560000
430947,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2390,0,0,3038,0,0,,3.0,3.0,1,3.0,END UNIT,1.0,583463
831543,UNION STATION,CONDOMINIUMS,887,0,0,0,0,2,,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,640000
62989,FORT LOGAN,CONDOMINIUMS,927,0,0,0,0,48,,2.0,1.0,1,1.0,MIDDLE UNIT,1.0,160000
457006,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,2081,0,0,4740,0,14,0.0,3.0,2.0,1,2.0,2 STORY,1.0,359500
189749,BERKELEY,SINGLE FAMILY RESIDENCE,2381,0,0,3125,0,2,,3.0,2.0,2,3.0,END UNIT,1.0,821340
469650,MONTBELLO,SINGLE FAMILY RESIDENCE,840,700,840,6470,0,48,,2.0,2.0,0,1.0,1 STORY,1.0,315000
876012,WINDSOR,CONDOMINIUMS,1428,0,0,0,0,44,2.0,2.0,2.0,0,1.0,END UNIT,1.0,225000
429297,CENTRAL PARK,SINGLE FAMILY RESIDENCE,1438,0,77,1260,0,15,,2.0,2.0,1,2.0,MIDDLE UNIT,1.0,415000
587254,HIGHLAND,SINGLE FAMILY RESIDENCE,2447,0,0,1310,0,4,,4.0,2.0,1,3.0,END UNIT,1.0,885000
971258,MONTBELLO,SINGLE FAMILY RESIDENCE,1584,440,470,8973,0,22,,3.0,3.0,1,2.0,2 STORY,1.0,360000
626849,NORTH PARK HILL,SINGLE FAMILY RESIDENCE,3396,1613,1698,5950,0,0,,3.0,4.0,1,2.0,2 STORY,1.0,525000
665512,EAST COLFAX,SINGLE FAMILY RESIDENCE,707,0,0,6250,0,66,9.0,2.0,1.0,0,1.0,1 STORY,1.0,300000
432249,MONTBELLO,SINGLE FAMILY RESIDENCE,2134,0,1063,7290,0,23,,4.0,2.0,1,2.0,2 STORY,1.0,385000
971800,MONTCLAIR,SINGLE FAMILY RESIDENCE,2445,1162,1223,7500,0,79,14.0,4.0,4.0,0,2.0,2 STORY,1.0,835000
408175,WESTWOOD,SINGLE FAMILY RESIDENCE,1324,360,400,11400,0,81,1.0,3.0,2.0,0,1.0,1 STORY,2.0,381000
955993,CAPITOL HILL,SINGLE FAMILY RESIDENCE,1065,965,1065,6250,0,63,12.0,2.0,2.0,0,1.0,1 STORY,1.0,707500
898910,MONTCLAIR,CONDOMINIUMS,1008,0,0,0,0,57,,2.0,1.0,0,1.0,END UNIT,1.0,160000
156910,WINDSOR,CONDOMINIUMS,1428,0,0,0,0,44,,2.0,2.0,0,1.0,END UNIT,1.0,215000
783351,WINDSOR,CONDOMINIUMS,945,0,0,0,0,50,,2.0,1.0,0,1.0,MIDDLE UNIT,1.0,186000
933817,HAMPDEN,SINGLE FAMILY RESIDENCE,1984,0,0,11100,1236,55,,3.0,2.0,1,1.0,TRI-LEVEL,1.0,460000
823749,UNION STATION,CONDOMINIUMS,726,0,0,0,0,2,,2.0,1.0,0,1.0,MIDDLE UNIT,1.0,285936
479495,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,2262,0,1018,6050,0,1,,3.0,2.0,1,2.0,2 STORY,1.0,428893
815468,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2390,0,0,3562,0,1,,3.0,3.0,1,3.0,END UNIT,1.0,574801
373286,HARVEY PARK,SINGLE FAMILY RESIDENCE,1142,0,0,6420,0,68,,4.0,1.0,0,1.0,1 STORY,1.0,335000
984196,HAMPDEN,CONDOMINIUMS,721,0,0,0,0,47,3.0,1.0,1.0,0,1.0,END UNIT,1.0,125000
816168,CENTRAL PARK,SINGLE FAMILY RESIDENCE,3287,0,1621,5875,0,0,,4.0,3.0,1,2.0,2 STORY,1.0,718760
911857,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1413,0,0,3277,0,16,16.0,3.0,2.0,0,2.0,2 STORY,1.0,244076
58985,MAR LEE,SINGLE FAMILY RESIDENCE,1063,0,0,6250,0,65,,3.0,1.0,0,1.0,1 STORY,1.0,240000
741204,WELLSHIRE,SINGLE FAMILY RESIDENCE,1897,1762,1918,9150,0,62,0.0,2.0,4.0,0,1.0,1 STORY,1.0,1100000
144469,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,1026,0,364,4600,360,20,,3.0,2.0,1,1.0,TRI-LEVEL W/B,1.0,336500
672767,WHITTIER,SINGLE FAMILY RESIDENCE,1428,0,170,3919,0,119,0.0,3.0,2.0,1,2.0,END UNIT,1.0,575000
71854,CENTRAL PARK,SINGLE FAMILY RESIDENCE,2310,810,1215,4879,0,0,,4.0,4.0,0,2.0,2 STORY,1.0,922878
134781,CENTRAL PARK,SINGLE FAMILY RESIDENCE,1355,760,909,3964,0,0,,2.0,3.0,0,1.0,END UNIT,1.0,493679
158585,WASHINGTON PARK WEST,SINGLE FAMILY RESIDENCE,1811,694,730,6250,0,118,16.0,4.0,3.0,1,2.0,2 STORY,1.0,930000
692695,HIGHLAND,SINGLE FAMILY RESIDENCE,588,0,0,1514,0,73,15.0,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,318000
252563,FIVE POINTS,CONDOMINIUMS,1513,0,0,0,0,89,2.0,2.0,1.0,1,2.0,MIDDLE UNIT,1.0,575000
932873,GATEWAY / GREEN VALLEY RANCH,SINGLE FAMILY RESIDENCE,2044,0,520,8684,0,23,,3.0,2.0,1,2.0,2 STORY,1.0,105500
130682,WESTWOOD,SINGLE FAMILY RESIDENCE,832,0,0,3462,0,66,0.0,3.0,1.0,0,1.0,END UNIT,1.0,295000
391200,RUBY HILL,SINGLE FAMILY RESIDENCE,1017,0,0,7200,0,66,,2.0,1.0,0,1.0,1 STORY,1.0,300000
998301,VIRGINIA VILLAGE,SINGLE FAMILY RESIDENCE,1220,1220,1220,6000,0,63,1.0,3.0,3.0,0,1.0,1 STORY,1.0,545000
27012,MARSTON,CONDOMINIUMS,1409,0,830,0,0,25,,2.0,2.0,0,1.0,END UNIT,1.0,108900
497896,FIVE POINTS,CONDOMINIUMS,985,0,0,0,0,14,14.0,1.0,1.0,0,1.0,MIDDLE UNIT,1.0,416000
177864,GOLDSMITH,SINGLE FAMILY RESIDENCE,1713,597,746,9050,0,54,,3.0,2.0,0,1.0,1 STORY,1.0,470000
282680,WINDSOR,CONDOMINIUMS,701,0,0,0,0,40,,1.0,1.0,0,1.0,END UNIT,1.0,170000
46267,OVERLAND,SINGLE FAMILY RESIDENCE,2364,923,972,3125,0,2,,2.0,3.0,2,2.5,END UNIT,1.0,646000
33617,WINDSOR,CONDOMINIUMS,1710,0,0,0,0,53,,2.0,2.0,0,1.0,MIDDLE UNIT,1.0,292000
801103,HARVEY PARK,SINGLE FAMILY RESIDENCE,1166,1108,1166,8480,0,64,2.0,3.0,2.0,0,1.0,1 STORY,1.0,499000
38652,MONTCLAIR,SINGLE FAMILY RESIDENCE,3712,1725,1907,7030,0,0,,3.0,4.0,1,2.0,2 STORY,1.0,410000
424415,BARNUM WEST,SINGLE FAMILY RESIDENCE,682,0,0,7200,0,66,10.0,2.0,1.0,0,1.0,1 STORY,1.0,236000
31792,LOWRY FIELD,SINGLE FAMILY RESIDENCE,2505,0,1166,6200,0,20,,4.0,2.0,1,2.0,2 STORY,1.0,729000
35555,SKYLAND,SINGLE FAMILY RESIDENCE,1344,0,0,6670,0,73,13.0,3.0,1.0,1,1.0,1 STORY,1.0,445000
145934,UNION STATION,CONDOMINIUMS,1424,0,0,0,0,2,,3.0,2.0,0,1.0,END UNIT,1.0,925000
908831,MARSTON,SINGLE FAMILY RESIDENCE,3517,700,1126,11233,0,20,,5.0,5.0,0,2.0,2 STORY,1.0,819000
324208,UNIVERSITY PARK,CONDOMINIUMS,935,0,0,0,0,67,,2.0,1.0,0,1.0,END UNIT,1.0,235000
377892,CAPITOL HILL,SINGLE FAMILY RESIDENCE,1640,1640,1778,6250,0,100,7.0,2.0,2.0,1,1.0,1 STORY,1.0,845000
576025,MONTCLAIR,SINGLE FAMILY RESIDENCE,1174,825,870,6110,0,69,0.0,2.0,2.0,0,1.0,1 STORY,1.0,487500
603362,SUNNYSIDE,SINGLE FAMILY RESIDENCE,2151,717,755,3760,0,2,,3.0,3.0,1,2.0,END UNIT,1.0,729000
842163,WELLSHIRE,SINGLE FAMILY RESIDENCE,1412,1032,1132,7440,0,65,6.0,2.0,2.0,0,1.0,1 STORY,1.0,682000
210167,NORTH PARK HILL,SINGLE FAMILY RESIDENCE,1300,601,751,4690,0,100,4.0,2.0,2.0,0,1.0,1 STORY,1.0,670000
190799,CONGRESS PARK,SINGLE FAMILY RESIDENCE,1152,1100,1152,3450,0,94,,2.0,2.0,0,1.0,1 STORY,1.0,555000
982796,WASHINGTON VIRGINIA VALE,SINGLE FAMILY RESIDENCE,1673,1071,1127,1752,0,22,0.0,3.0,3.0,1,2.0,END UNIT,1.0,460000
